timestamp_seconds,latitude,longitude,altitude_if_available
7.009129,47.3843571,8.5451784,464.91
7.042462,47.3843571,8.5451784,464.91
7.075795,47.3843571,8.5451784,464.91
7.109128,47.3843571,8.5451784,464.91
7.142461,47.3843571,8.5451784,464.91
7.175794,47.3843571,8.5451784,464.91
7.206967,47.3843551,8.5451786,465.164
7.2403,47.3843551,8.5451786,465.164
7.273633,47.3843551,8.5451786,465.164
7.306966,47.3843551,8.5451786,465.164
7.340299,47.3843551,8.5451786,465.164
7.373632,47.3843551,8.5451786,465.164
7.402809,47.3843531,8.5451792,465.478
7.436142,47.3843531,8.5451792,465.478
7.469475,47.3843531,8.5451792,465.478
7.502808,47.3843531,8.5451792,465.478
7.536141,47.3843531,8.5451792,465.478
7.569474,47.3843531,8.5451792,465.478
7.599573,47.384351,8.54518,465.851
7.632906,47.384351,8.54518,465.851
7.666239,47.384351,8.54518,465.851
7.699572,47.384351,8.54518,465.851
7.732905,47.384351,8.54518,465.851
7.766238,47.384351,8.54518,465.851
7.798438,47.3843499,8.5451802,466.247
7.831771,47.3843499,8.5451802,466.247
7.865104,47.3843499,8.5451802,466.247
7.898437,47.3843499,8.5451802,466.247
7.93177,47.3843499,8.5451802,466.247
7.965103,47.3843499,8.5451802,466.247
7.988182,47.3843499,8.5451832,466.324
8.021515,47.3843499,8.5451832,466.324
8.054848,47.3843499,8.5451832,466.324
8.088181,47.3843499,8.5451832,466.324
8.121514,47.3843499,8.5451832,466.324
8.154847,47.3843499,8.5451832,466.324
8.19707,47.3843502,8.5451842,466.501
8.230403,47.3843502,8.5451842,466.501
8.263736,47.3843502,8.5451842,466.501
8.297069,47.3843502,8.5451842,466.501
8.330402,47.3843502,8.5451842,466.501
8.363735,47.3843502,8.5451842,466.501
8.39595,47.3843498,8.545184,466.894
8.429283,47.3843498,8.545184,466.894
8.462616,47.3843498,8.545184,466.894
8.495949,47.3843498,8.545184,466.894
8.529282,47.3843498,8.545184,466.894
8.562615,47.3843498,8.545184,466.894
8.598784,47.3843499,8.5451857,467.132
8.632117,47.3843499,8.5451857,467.132
8.66545,47.3843499,8.5451857,467.132
8.698783,47.3843499,8.5451857,467.132
8.732116,47.3843499,8.5451857,467.132
8.765449,47.3843499,8.5451857,467.132
8.802486,47.3843497,8.5451876,467.235
8.835819,47.3843497,8.5451876,467.235
8.869152,47.3843497,8.5451876,467.235
8.902485,47.3843497,8.5451876,467.235
8.935818,47.3843497,8.5451876,467.235
8.969151,47.3843497,8.5451876,467.235
9.002265,47.3843498,8.5451899,467.265
9.035598,47.3843498,8.5451899,467.265
9.068931,47.3843498,8.5451899,467.265
9.102264,47.3843498,8.5451899,467.265
9.135597,47.3843498,8.5451899,467.265
9.16893,47.3843498,8.5451899,467.265
9.199111,47.3843494,8.5451919,467.39
9.232444,47.3843494,8.5451919,467.39
9.265777,47.3843494,8.5451919,467.39
9.29911,47.3843494,8.5451919,467.39
9.332443,47.3843494,8.5451919,467.39
9.365776,47.3843494,8.5451919,467.39
9.400044,47.3843489,8.5451931,467.487
9.433377,47.3843489,8.5451931,467.487
9.46671,47.3843489,8.5451931,467.487
9.500043,47.3843489,8.5451931,467.487
9.533376,47.3843489,8.5451931,467.487
9.566709,47.3843489,8.5451931,467.487
9.59966,47.3843488,8.5451926,467.611
9.632993,47.3843488,8.5451926,467.611
9.666326,47.3843488,8.5451926,467.611
9.699659,47.3843488,8.5451926,467.611
9.732992,47.3843488,8.5451926,467.611
9.766325,47.3843488,8.5451926,467.611
9.801471,47.3843491,8.5451931,467.714
9.834804,47.3843491,8.5451931,467.714
9.868137,47.3843491,8.5451931,467.714
9.90147,47.3843491,8.5451931,467.714
9.934803,47.3843491,8.5451931,467.714
9.968136,47.3843491,8.5451931,467.714
9.998204,47.3843495,8.545194,467.741
10.031537,47.3843495,8.545194,467.741
10.06487,47.3843495,8.545194,467.741
10.098203,47.3843495,8.545194,467.741
10.131536,47.3843495,8.545194,467.741
10.164869,47.3843495,8.545194,467.741
10.201081,47.3843507,8.5451956,467.662
10.234414,47.3843507,8.5451956,467.662
10.267747,47.3843507,8.5451956,467.662
10.30108,47.3843507,8.5451956,467.662
10.334413,47.3843507,8.5451956,467.662
10.367746,47.3843507,8.5451956,467.662
10.396814,47.3843516,8.5451967,467.643
10.430147,47.3843516,8.5451967,467.643
10.46348,47.3843516,8.5451967,467.643
10.496813,47.3843516,8.5451967,467.643
10.530146,47.3843516,8.5451967,467.643
10.563479,47.3843516,8.5451967,467.643
10.599588,47.3843514,8.5451973,467.634
10.632921,47.3843514,8.5451973,467.634
10.666254,47.3843514,8.5451973,467.634
10.699587,47.3843514,8.5451973,467.634
10.73292,47.3843514,8.5451973,467.634
10.766253,47.3843514,8.5451973,467.634
10.797338,47.3843532,8.5452011,467.466
10.830671,47.3843532,8.5452011,467.466
10.864004,47.3843532,8.5452011,467.466
10.897337,47.3843532,8.5452011,467.466
10.93067,47.3843532,8.5452011,467.466
10.964003,47.3843532,8.5452011,467.466
10.997044,47.3843539,8.545201,467.508
11.030377,47.3843539,8.545201,467.508
11.06371,47.3843539,8.545201,467.508
11.097043,47.3843539,8.545201,467.508
11.130376,47.3843539,8.545201,467.508
11.163709,47.3843539,8.545201,467.508
11.195824,47.3843546,8.5452006,467.46
11.229157,47.3843546,8.5452006,467.46
11.26249,47.3843546,8.5452006,467.46
11.295823,47.3843546,8.5452006,467.46
11.329156,47.3843546,8.5452006,467.46
11.362489,47.3843546,8.5452006,467.46
11.397736,47.3843554,8.5452011,467.408
11.431069,47.3843554,8.5452011,467.408
11.464402,47.3843554,8.5452011,467.408
11.497735,47.3843554,8.5452011,467.408
11.531068,47.3843554,8.5452011,467.408
11.564401,47.3843554,8.5452011,467.408
11.595348,47.3843553,8.5452003,467.371
11.628681,47.3843553,8.5452003,467.371
11.662014,47.3843553,8.5452003,467.371
11.695347,47.3843553,8.5452003,467.371
11.72868,47.3843553,8.5452003,467.371
11.762013,47.3843553,8.5452003,467.371
11.79609,47.3843559,8.5452015,467.376
11.829423,47.3843559,8.5452015,467.376
11.862756,47.3843559,8.5452015,467.376
11.896089,47.3843559,8.5452015,467.376
11.929422,47.3843559,8.5452015,467.376
11.962755,47.3843559,8.5452015,467.376
11.98896,47.384356,8.5452011,467.237
12.022293,47.384356,8.5452011,467.237
12.055626,47.384356,8.5452011,467.237
12.088959,47.384356,8.5452011,467.237
12.122292,47.384356,8.5452011,467.237
12.155625,47.384356,8.5452011,467.237
12.191611,47.3843566,8.5452008,467.105
12.224944,47.3843566,8.5452008,467.105
12.258277,47.3843566,8.5452008,467.105
12.29161,47.3843566,8.5452008,467.105
12.324943,47.3843566,8.5452008,467.105
12.358276,47.3843566,8.5452008,467.105
12.388362,47.3843577,8.5452006,466.823
12.421695,47.3843577,8.5452006,466.823
12.455028,47.3843577,8.5452006,466.823
12.488361,47.3843577,8.5452006,466.823
12.521694,47.3843577,8.5452006,466.823
12.555027,47.3843577,8.5452006,466.823
12.590212,47.3843574,8.5451985,466.841
12.623545,47.3843574,8.5451985,466.841
12.656878,47.3843574,8.5451985,466.841
12.690211,47.3843574,8.5451985,466.841
12.723544,47.3843574,8.5451985,466.841
12.756877,47.3843574,8.5451985,466.841
12.790053,47.384357,8.5451976,466.887
12.823386,47.384357,8.5451976,466.887
12.856719,47.384357,8.5451976,466.887
12.890052,47.384357,8.5451976,466.887
12.923385,47.384357,8.5451976,466.887
12.956718,47.384357,8.5451976,466.887
12.990712,47.3843575,8.5451976,466.83
13.024045,47.3843575,8.5451976,466.83
13.057378,47.3843575,8.5451976,466.83
13.090711,47.3843575,8.5451976,466.83
13.124044,47.3843575,8.5451976,466.83
13.157377,47.3843575,8.5451976,466.83
13.188406,47.3843587,8.5451976,466.727
13.221739,47.3843587,8.5451976,466.727
13.255072,47.3843587,8.5451976,466.727
13.288405,47.3843587,8.5451976,466.727
13.321738,47.3843587,8.5451976,466.727
13.355071,47.3843587,8.5451976,466.727
13.389207,47.384359,8.5451967,466.714
13.42254,47.384359,8.5451967,466.714
13.455873,47.384359,8.5451967,466.714
13.489206,47.384359,8.5451967,466.714
13.522539,47.384359,8.5451967,466.714
13.555872,47.384359,8.5451967,466.714
13.592107,47.384359,8.5451952,466.661
13.62544,47.384359,8.5451952,466.661
13.658773,47.384359,8.5451952,466.661
13.692106,47.384359,8.5451952,466.661
13.725439,47.384359,8.5451952,466.661
13.758772,47.384359,8.5451952,466.661
13.808127,47.3843596,8.5451948,466.6
13.84146,47.3843596,8.5451948,466.6
13.874793,47.3843596,8.5451948,466.6
13.908126,47.3843596,8.5451948,466.6
13.941459,47.3843596,8.5451948,466.6
13.974792,47.3843596,8.5451948,466.6
13.989764,47.3843593,8.5451929,466.663
14.023097,47.3843593,8.5451929,466.663
14.05643,47.3843593,8.5451929,466.663
14.089763,47.3843593,8.5451929,466.663
14.123096,47.3843593,8.5451929,466.663
14.156429,47.3843593,8.5451929,466.663
14.191526,47.3843602,8.5451932,466.626
14.224859,47.3843602,8.5451932,466.626
14.258192,47.3843602,8.5451932,466.626
14.291525,47.3843602,8.5451932,466.626
14.324858,47.3843602,8.5451932,466.626
14.358191,47.3843602,8.5451932,466.626
14.387222,47.384361,8.5451938,466.629
14.420555,47.384361,8.5451938,466.629
14.453888,47.384361,8.5451938,466.629
14.487221,47.384361,8.5451938,466.629
14.520554,47.384361,8.5451938,466.629
14.553887,47.384361,8.5451938,466.629
14.588057,47.384362,8.5451939,466.53
14.62139,47.384362,8.5451939,466.53
14.654723,47.384362,8.5451939,466.53
14.688056,47.384362,8.5451939,466.53
14.721389,47.384362,8.5451939,466.53
14.754722,47.384362,8.5451939,466.53
14.796032,47.3843622,8.5451944,466.64
14.829365,47.3843622,8.5451944,466.64
14.862698,47.3843622,8.5451944,466.64
14.896031,47.3843622,8.5451944,466.64
14.929364,47.3843622,8.5451944,466.64
14.962697,47.3843622,8.5451944,466.64
14.990721,47.3843618,8.5451942,466.742
15.024054,47.3843618,8.5451942,466.742
15.057387,47.3843618,8.5451942,466.742
15.09072,47.3843618,8.5451942,466.742
15.124053,47.3843618,8.5451942,466.742
15.157386,47.3843618,8.5451942,466.742
15.185446,47.3843632,8.5451955,466.524
15.218779,47.3843632,8.5451955,466.524
15.252112,47.3843632,8.5451955,466.524
15.285445,47.3843632,8.5451955,466.524
15.318778,47.3843632,8.5451955,466.524
15.352111,47.3843632,8.5451955,466.524
15.387279,47.384363,8.5451954,466.561
15.420612,47.384363,8.5451954,466.561
15.453945,47.384363,8.5451954,466.561
15.487278,47.384363,8.5451954,466.561
15.520611,47.384363,8.5451954,466.561
15.553944,47.384363,8.5451954,466.561
15.585104,47.3843626,8.5451957,466.728
