image_id,imgid,filename,image_timestamp_seconds,ground_truth_imgid,ground_truth_pose_timestamp_seconds,association_method,matched,delta_seconds
1,1,00001.jpg,7.009129,1,7.009129,EXACT_ID,true,0.0
2,2,00002.jpg,7.042462,,,UNMATCHED,false,
3,3,00003.jpg,7.075795,,,UNMATCHED,false,
4,4,00004.jpg,7.109128,,,UNMATCHED,false,
5,5,00005.jpg,7.142461,,,UNMATCHED,false,
6,6,00006.jpg,7.175794,,,UNMATCHED,false,
7,7,00007.jpg,7.206967,,,UNMATCHED,false,
8,8,00008.jpg,7.2403,,,UNMATCHED,false,
9,9,00009.jpg,7.273633,,,UNMATCHED,false,
10,10,00010.jpg,7.306966,,,UNMATCHED,false,
11,11,00011.jpg,7.340299,,,UNMATCHED,false,
12,12,00012.jpg,7.373632,,,UNMATCHED,false,
13,13,00013.jpg,7.402809,,,UNMATCHED,false,
14,14,00014.jpg,7.436142,,,UNMATCHED,false,
15,15,00015.jpg,7.469475,,,UNMATCHED,false,
16,16,00016.jpg,7.502808,,,UNMATCHED,false,
17,17,00017.jpg,7.536141,,,UNMATCHED,false,
18,18,00018.jpg,7.569474,,,UNMATCHED,false,
19,19,00019.jpg,7.599573,,,UNMATCHED,false,
20,20,00020.jpg,7.632906,,,UNMATCHED,false,
21,21,00021.jpg,7.666239,,,UNMATCHED,false,
22,22,00022.jpg,7.699572,,,UNMATCHED,false,
23,23,00023.jpg,7.732905,,,UNMATCHED,false,
24,24,00024.jpg,7.766238,,,UNMATCHED,false,
25,25,00025.jpg,7.798438,,,UNMATCHED,false,
26,26,00026.jpg,7.831771,,,UNMATCHED,false,
27,27,00027.jpg,7.865104,,,UNMATCHED,false,
28,28,00028.jpg,7.898437,,,UNMATCHED,false,
29,29,00029.jpg,7.93177,,,UNMATCHED,false,
30,30,00030.jpg,7.965103,,,UNMATCHED,false,
31,31,00031.jpg,7.988182,31,7.988182,EXACT_ID,true,0.0
32,32,00032.jpg,8.021515,,,UNMATCHED,false,
33,33,00033.jpg,8.054848,,,UNMATCHED,false,
34,34,00034.jpg,8.088181,,,UNMATCHED,false,
35,35,00035.jpg,8.121514,,,UNMATCHED,false,
36,36,00036.jpg,8.154847,,,UNMATCHED,false,
37,37,00037.jpg,8.19707,,,UNMATCHED,false,
38,38,00038.jpg,8.230403,,,UNMATCHED,false,
39,39,00039.jpg,8.263736,,,UNMATCHED,false,
40,40,00040.jpg,8.297069,,,UNMATCHED,false,
41,41,00041.jpg,8.330402,,,UNMATCHED,false,
42,42,00042.jpg,8.363735,,,UNMATCHED,false,
43,43,00043.jpg,8.39595,,,UNMATCHED,false,
44,44,00044.jpg,8.429283,,,UNMATCHED,false,
45,45,00045.jpg,8.462616,,,UNMATCHED,false,
46,46,00046.jpg,8.495949,,,UNMATCHED,false,
47,47,00047.jpg,8.529282,,,UNMATCHED,false,
48,48,00048.jpg,8.562615,,,UNMATCHED,false,
49,49,00049.jpg,8.598784,,,UNMATCHED,false,
50,50,00050.jpg,8.632117,,,UNMATCHED,false,
51,51,00051.jpg,8.66545,,,UNMATCHED,false,
52,52,00052.jpg,8.698783,,,UNMATCHED,false,
53,53,00053.jpg,8.732116,,,UNMATCHED,false,
