timestamp_seconds,x,y,z,qx,qy,qz,qw
7.009129,0.0,0.0,0.0,0.6242869001023085,-0.35234519067365855,0.48360530814456165,0.5022396229930461
7.988182,-0.100395,-0.034888,0.689794,0.626489516623966,-0.3495040487273201,0.49526924801397665,0.48996548598360523
9.002265,-0.148522,0.03035,0.977556,0.6313491319297697,-0.3421761067734261,0.5258917940146699,0.45579776935932814
9.998204,-0.228336,0.069254,1.108239,0.6360954917424222,-0.335176043022294,0.527281242001326,0.4527847583592258
10.997044,-0.274914,-0.014758,1.180007,0.6373434150960526,-0.33312646040799226,0.5298269164373929,0.4495593077984116
11.98896,-0.462049,-0.076925,1.601851,0.6413824254179619,-0.3267115452777747,0.5337403611428043,0.4438573841160356
12.990712,-0.5877,-0.110104,1.923587,0.6427870302981153,-0.32417619277613907,0.5374969156478318,0.43912605865145954
13.989764,-0.560557,-0.198089,1.994821,0.6470528871758926,-0.31736713088977453,0.5425102490716187,0.43160548546141597
14.990721,-0.58476,-0.346078,2.083503,0.6420083818073581,-0.3259377354445175,0.5205448854569359,0.4589366541550399
15.983557,-0.642719,-0.405726,2.278361,0.6395253076153907,-0.3291981683505643,0.5060059267251626,0.4760188536109498
16.989655,-0.679998,-0.251352,2.454593,0.6430156841626163,-0.3240152219516108,0.5171852974333736,0.46267087003969015
17.985701,-0.649907,-0.077837,2.574152,0.6409174890322998,-0.3271102686049974,0.5167971014244527,0.4638366095781814
18.984784,-0.699718,0.016758,2.555917,0.6411864261555692,-0.32668810779260216,0.512632001994644,0.46836233588078063
19.983676,-0.746409,0.084568,2.535745,0.6429864309865626,-0.3237628296331878,0.5057583089368966,0.47534683406578443
20.996026,-0.831885,0.147345,2.51109,0.6412850888485973,-0.32617652818755205,0.5057988130039306,0.4759515395959724
21.988746,-0.760474,0.240861,2.527177,0.6384524528740992,-0.3299490013599682,0.5002966851218779,0.48292375047896186
22.986362,-0.667423,0.366501,2.551123,0.08473302531384419,-0.5964346150619921,-0.08624513770538375,0.7935035227389959
23.980061,-0.750698,0.530747,2.533601,0.06593766498783526,-0.5995135190662253,-0.10218116307555516,0.7910719150022388
24.99133,-0.805861,0.542214,2.547331,0.04553422037005578,-0.6023702499930232,-0.11931211044656398,0.787934855809426
25.988216,-0.968723,0.384491,2.542994,0.023112320383672003,-0.5932079580719833,-0.15276276416733423,0.7900846011728782
26.989146,-1.383042,0.313572,2.505868,0.07684131318023618,-0.5895004539206896,-0.10908615510687844,0.7966710978691494
27.987,-1.794061,0.219287,2.459641,0.23993959953461638,-0.6004061531907199,0.09559659966627643,0.7568373206430399
28.986773,-2.125631,-0.01833,2.471783,0.5624601754640024,-0.42362476563799667,0.42674175704359946,0.5675139485074333
29.985701,-2.371304,-0.262054,2.639663,0.5671152495668398,-0.41615007348309896,0.417963120386696,0.5748967211990068
30.994598,-2.418807,-0.291068,2.691136,0.5605807846366464,-0.42508720911184145,0.42671032843028495,0.5683030390175526
31.984283,-2.478475,-0.197573,2.687134,0.5504161438028198,-0.43804028332064887,0.4346725184203159,0.5623367145756532
32.988469,-2.533979,-0.18289,2.679223,0.5564450790936476,-0.42978334268967433,0.42846209049233447,0.5675168625775738
33.990537,-2.570615,-0.209132,2.665269,0.5551274306987831,-0.43242329377931904,0.4363408164984749,0.5607587025987709
34.996511,-2.704039,-0.253901,2.888705,0.555883954363169,-0.4328052376066586,0.44503417408874435,0.5528265907813764
35.985152,-2.861234,-0.342938,3.053662,0.5547115273006344,-0.4328236612868609,0.4368197554193681,0.5604884485744533
36.990143,-2.995513,-0.500476,3.208726,0.5458603859284278,-0.44103205784067395,0.42654702059707206,0.5706003875311069
37.989044,-3.087554,-0.675322,3.365206,0.5454245588773882,-0.44240880839316576,0.4316466796493001,0.5660986140040268
38.995498,-3.175721,-0.788862,3.305773,0.5443150884167696,-0.4422307778826425,0.4236213310058994,0.5733218917257106
39.987301,-3.132745,-0.765863,3.187358,0.5424425926502663,-0.44455789172407195,0.426426569576482,0.5712133536113625
40.988166,-2.93079,-0.598942,3.205447,0.5435125892373588,-0.44325425479403335,0.4267006661147667,0.5710046168681148
41.985116,-2.728757,-0.538555,3.328508,0.53760922342901,-0.45005400691814174,0.42651902889335636,0.5714098631742808
42.996139,-2.441933,-0.571696,3.473636,0.5359458113352797,-0.4518539135931281,0.4262167479833941,0.5717774145777382
43.990078,-2.209483,-0.687497,3.633648,0.5454851101631701,-0.44170869713051397,0.4307205612022285,0.5672911242273895
44.990278,-2.026702,-0.777744,3.659185,0.5405147071223896,-0.4499828313884874,0.4470723629471547,0.5527075222292938
45.989353,-1.980065,-0.942285,3.625738,0.5489038002234454,-0.4417269782275416,0.45711944373901764,0.5427925100459253
46.99123,-2.024778,-1.231838,3.592605,0.5578595770633462,-0.4308185305048944,0.4540013860757588,0.5450420419505249
47.990403,-1.976465,-1.68715,3.574449,0.562125084112955,-0.42327414660354135,0.4382814544162788,0.5592528527802055
48.991066,-1.929195,-2.228474,3.553971,0.559847303117277,-0.42532877592916973,0.43501172036636526,0.5625222064086014
49.985621,-1.858826,-2.699612,3.434516,0.5595321791330937,-0.42512663867576683,0.43188979501959385,0.5653868468232602
