image_id,imgid,filename,timestamp_seconds,width,height
1,1,00001.jpg,7.009129,1920,1080
2,2,00002.jpg,7.042462,1920,1080
3,3,00003.jpg,7.075795,1920,1080
4,4,00004.jpg,7.109128,1920,1080
5,5,00005.jpg,7.142461,1920,1080
6,6,00006.jpg,7.175794,1920,1080
7,7,00007.jpg,7.206967,1920,1080
8,8,00008.jpg,7.2403,1920,1080
9,9,00009.jpg,7.273633,1920,1080
10,10,00010.jpg,7.306966,1920,1080
11,11,00011.jpg,7.340299,1920,1080
12,12,00012.jpg,7.373632,1920,1080
13,13,00013.jpg,7.402809,1920,1080
14,14,00014.jpg,7.436142,1920,1080
15,15,00015.jpg,7.469475,1920,1080
16,16,00016.jpg,7.502808,1920,1080
17,17,00017.jpg,7.536141,1920,1080
18,18,00018.jpg,7.569474,1920,1080
19,19,00019.jpg,7.599573,1920,1080
20,20,00020.jpg,7.632906,1920,1080
21,21,00021.jpg,7.666239,1920,1080
22,22,00022.jpg,7.699572,1920,1080
23,23,00023.jpg,7.732905,1920,1080
24,24,00024.jpg,7.766238,1920,1080
25,25,00025.jpg,7.798438,1920,1080
26,26,00026.jpg,7.831771,1920,1080
27,27,00027.jpg,7.865104,1920,1080
28,28,00028.jpg,7.898437,1920,1080
29,29,00029.jpg,7.93177,1920,1080
30,30,00030.jpg,7.965103,1920,1080
31,31,00031.jpg,7.988182,1920,1080
32,32,00032.jpg,8.021515,1920,1080
33,33,00033.jpg,8.054848,1920,1080
34,34,00034.jpg,8.088181,1920,1080
35,35,00035.jpg,8.121514,1920,1080
36,36,00036.jpg,8.154847,1920,1080
37,37,00037.jpg,8.19707,1920,1080
38,38,00038.jpg,8.230403,1920,1080
39,39,00039.jpg,8.263736,1920,1080
40,40,00040.jpg,8.297069,1920,1080
41,41,00041.jpg,8.330402,1920,1080
42,42,00042.jpg,8.363735,1920,1080
43,43,00043.jpg,8.39595,1920,1080
44,44,00044.jpg,8.429283,1920,1080
45,45,00045.jpg,8.462616,1920,1080
46,46,00046.jpg,8.495949,1920,1080
47,47,00047.jpg,8.529282,1920,1080
48,48,00048.jpg,8.562615,1920,1080
49,49,00049.jpg,8.598784,1920,1080
50,50,00050.jpg,8.632117,1920,1080
51,51,00051.jpg,8.66545,1920,1080
52,52,00052.jpg,8.698783,1920,1080
53,53,00053.jpg,8.732116,1920,1080
54,54,00054.jpg,8.765449,1920,1080
55,55,00055.jpg,8.802486,1920,1080
56,56,00056.jpg,8.835819,1920,1080
57,57,00057.jpg,8.869152,1920,1080
58,58,00058.jpg,8.902485,1920,1080
59,59,00059.jpg,8.935818,1920,1080
60,60,00060.jpg,8.969151,1920,1080
61,61,00061.jpg,9.002265,1920,1080
62,62,00062.jpg,9.035598,1920,1080
63,63,00063.jpg,9.068931,1920,1080
64,64,00064.jpg,9.102264,1920,1080
65,65,00065.jpg,9.135597,1920,1080
66,66,00066.jpg,9.16893,1920,1080
67,67,00067.jpg,9.199111,1920,1080
68,68,00068.jpg,9.232444,1920,1080
69,69,00069.jpg,9.265777,1920,1080
